,end_sample,flux,freesound_id,id,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,rolloff,spectral_centroid_time,start_sample
26,379392,0.002408393503477176,,None_f26,0.006019885341326396,-846.486083984375,207.04090881347656,-7.021425247192383,-2.0710220336914062,1.103607177734375,22.40947723388672,18.977886199951172,21.57013702392578,19.31634521484375,6.108821868896484,1.8078804016113281,-5.243309020996094,-8.202041625976562,464784__thenotoriousszin__linn-loop.wav,14587.5302734375,804.40966796875,373248
27,385024,0.0029313357716256924,,None_f27,0.007604894312945279,-669.5230712890625,-41.71329116821289,-3.398164749145508,-1.1025924682617188,-1.254678726196289,19.974111557006836,44.641998291015625,12.252248764038086,35.17068862915039,10.937747955322266,17.2213134765625,2.116476058959961,0.5160503387451172,464784__thenotoriousszin__linn-loop.wav,5689.69091796875,6822.037109375,379392
28,397312,0.0025172803240517774,,None_f28,0.008084850385785103,-813.537353515625,95.32138061523438,18.199838638305664,14.207223892211914,7.997140884399414,37.00714874267578,55.296539306640625,33.692970275878906,34.2735595703125,27.946258544921875,26.013757705688477,21.779720306396484,22.114587783813477,464784__thenotoriousszin__linn-loop.wav,15108.56640625,2462.6572265625,385024
29,409088,0.0013813233893850575,,None_f29,0.003565620145072108,-925.46630859375,187.46273803710938,-7.604562759399414,-5.0203857421875,-1.4302749633789062,34.88931655883789,14.117389678955078,28.39853286743164,19.618667602539062,10.907794952392578,2.8643951416015625,-1.6936264038085938,-4.661811828613281,464784__thenotoriousszin__linn-loop.wav,12866.712890625,248.52186584472656,397312
30,421376,0.0019295993261039257,,None_f30,0.0056617359320322675,-733.5154418945312,117.81884765625,1.7053985595703125,3.3962974548339844,8.502670288085938,-69.98684692382812,-3.82403564453125,-3.363941192626953,-11.808795928955078,-9.138837814331055,0.20128631591796875,2.5092086791992188,5.104118347167969,464784__thenotoriousszin__linn-loop.wav,21780.8125,1604.9619140625,409088
31,433152,0.0010885137092808018,,None_f31,0.0025911749057147813,-954.9721069335938,168.22808837890625,-26.513845443725586,-19.22698974609375,-19.24502944946289,20.32403564453125,-21.441997528076172,5.8061981201171875,2.9480056762695312,-17.702247619628906,-18.078819274902344,-17.95551300048828,-27.37432098388672,464784__thenotoriousszin__linn-loop.wav,6421.1845703125,301.273681640625,421376
32,439296,0.004537485850354035,,None_f32,0.014067144443591436,-634.3546142578125,80.32722473144531,13.32949447631836,8.835859298706055,1.877695083618164,29.25719451904297,49.53266906738281,29.67420768737793,30.344457626342773,22.89319610595703,22.350133895874023,18.394676208496094,17.927288055419922,464784__thenotoriousszin__linn-loop.wav,13801.4404296875,2798.3046875,433152
33,445440,0.005016764625906944,,None_f33,0.01609315723180771,-653.4734497070312,83.98916625976562,14.543647766113281,9.373613357543945,2.7839584350585938,31.60614013671875,51.04457092285156,30.821687698364258,30.560400009155273,24.121440887451172,22.762889862060547,19.102758407592773,19.21153450012207,464784__thenotoriousszin__linn-loop.wav,17821.626953125,2395.376953125,439296
34,457216,0.0016829807149327319,,None_f34,0.0046460657663967295,-869.5673828125,166.67071533203125,-4.952770233154297,-4.170207977294922,-1.6962814331054688,37.53557205200195,45.61651611328125,30.021198272705078,26.51974105834961,17.851024627685547,10.896951675415039,1.9126358032226562,-1.3714103698730469,464784__thenotoriousszin__linn-loop.wav,13726.2421875,228.7559051513672,445440
35,463360,0.004694267486532529,,None_f35,0.014722255369027456,-635.3464965820312,80.98135375976562,13.593301773071289,9.121622085571289,2.2365760803222656,29.636796951293945,49.684730529785156,29.782182693481445,30.551471710205078,23.235734939575195,22.629608154296875,18.674602508544922,18.164852142333984,464784__thenotoriousszin__linn-loop.wav,13822.9775390625,2724.425537109375,457216
